"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"no checking",12,"critical/order existing credit","repairs",996,"no known savings","4<=X<7",4,"female div/dep/mar","none",4,"real estate",23,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",60,"existing paid","radio/tv",10144,"100<=X<500","4<=X<7",2,"female div/dep/mar","none",4,"real estate",21,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",12,"existing paid","radio/tv",1158,"500<=X<10000","1<=X<4",3,"male div/sep","none",1,"car",26,"stores","own",1,"skilled",1,"yes","yes","good"
"<0",6,"existing paid","furniture/equipment",428,"<100",">=7",2,"female div/dep/mar","none",1,"life insurance",49,"bank","own",1,"skilled",1,"yes","yes","good"
"<0",18,"critical/order existing credit","furniture/equipment",1049,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",21,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",12,"no credits/all paid","furniture/equipment",2759,"<100",">=7",2,"male single","none",4,"life insurance",34,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",36,"no credits/all paid","repairs",2613,"<100","1<=X<4",4,"male single","none",2,"car",27,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",21,NA,NA,2241,"<100",">=7",4,"male single","none",2,"real estate",50,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",60,"existing paid","radio/tv",10144,"100<=X<500","4<=X<7",2,"female div/dep/mar","none",4,"real estate",21,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",24,"critical/order existing credit","business",2825,"no known savings","4<=X<7",4,"male single","none",3,"no known property",34,"stores","own",2,"skilled",2,"yes","yes","good"
"<0",30,"existing paid","radio/tv",2522,"<100",">=7",1,"male single","guarantor",3,"life insurance",39,"stores","own",1,"skilled",2,"none","yes","good"
"<0",12,"existing paid","education",1200,"no known savings","1<=X<4",4,"female div/dep/mar","none",4,"life insurance",23,"bank","rent",1,"skilled",1,"yes","yes","good"
"no checking",6,"existing paid","furniture/equipment",1766,"<100","1<=X<4",1,"male mar/wid","none",2,"life insurance",21,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",6,"critical/order existing credit","new car",362,"100<=X<500","1<=X<4",4,"female div/dep/mar",NA,4,"car",52,"stores","own",2,"unskilled resident",1,"none","yes","good"
"<0",42,"existing paid","furniture/equipment",7882,"<100","4<=X<7",2,"male single","guarantor",4,"life insurance",45,"stores","for free",1,NA,2,"none","yes","good"
">=200",10,"existing paid","domestic appliance",1225,"<100","1<=X<4",2,"male single","none",2,"car",37,"stores","own",1,"skilled",1,"yes","yes","good"
">=200",12,"existing paid","furniture/equipment",1424,"no known savings",">=7",3,"female div/dep/mar","none",4,"real estate",55,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","furniture/equipment",1935,"<100",">=7",4,"male single","none",4,"real estate",43,"stores","own",3,"skilled",1,NA,"yes","good"
"<0",24,"existing paid","used car",2812,"no known savings",">=7",2,"female div/dep/mar","none",4,"real estate",26,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","radio/tv",2284,"<100","4<=X<7",4,"male single","none",2,"car",28,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",15,"existing paid","radio/tv",1979,"no known savings",">=7",4,"male single","none",2,"car",35,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",12,"critical/order existing credit","business",1412,"<100","1<=X<4",4,"female div/dep/mar","guarantor",2,"real estate",29,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",10,"existing paid","new car",1418,"100<=X<500","1<=X<4",3,"male single","none",2,"real estate",35,"stores","rent",1,"unskilled resident",1,"none","no","good"
"no checking",15,"critical/order existing credit","new car",5045,"no known savings",">=7",1,"female div/dep/mar","none",4,"car",59,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",13,"critical/order existing credit","radio/tv",882,"<100",NA,4,"male single","guarantor",4,"real estate",23,"stores","own",2,"skilled",1,"none","yes","good"
"<0",18,"existing paid","furniture/equipment",2659,">=1000","1<=X<4",4,"male single","none",2,"car",28,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","furniture/equipment",5511,"100<=X<500","1<=X<4",4,"male single","none",1,"car",25,"","own",NA,"skilled",1,"none","yes","good"
"<0",15,"existing paid","new car",2511,"<100","unemployed",1,"female div/dep/mar","none",4,"car",23,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",9,"existing paid","furniture/equipment",1313,"<100",">=7",1,"male single","none",4,NA,20,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",27,"existing paid","repairs",5190,"no known savings",">=7",4,"male single","none",4,"life insurance",48,"stores","own",4,"skilled",2,"yes","yes","good"
"0<=X<200",24,"delayed previously","business",6967,"100<=X<500","4<=X<7",4,"male single","none",4,"car",36,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",7,"critical/order existing credit","radio/tv",730,"no known savings",">=7",4,"male single",NA,2,"life insurance",46,"stores","rent",2,"unskilled resident",1,"yes","yes","good"
"no checking",30,"existing paid","radio/tv",1867,"no known savings",">=7",4,"male single","none",4,"car",58,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",976,"no known savings",">=7",4,"male single","none",4,"car",35,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",36,"critical/order existing credit","radio/tv",9566,"<100","1<=X<4",2,"female div/dep/mar","none",2,"car",31,"","own",2,"skilled",1,"none","yes","good"
"no checking",36,"existing paid","used car",8133,"<100","1<=X<4",1,"female div/dep/mar","none",2,"life insurance",30,"bank","own",1,"skilled",1,"none","yes","good"
"<0",24,"critical/order existing credit","used car",2957,"<100",">=7",4,"male single","none",4,"life insurance",63,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",9,"existing paid","furniture/equipment",NA,"100<=X<500","<1",2,"female div/dep/mar","none",NA,"life insurance",22,"stores","rent",1,"skilled",1,"none","yes","good"
"<0",15,NA,"new car",2511,"<100","unemployed",1,"female div/dep/mar","none",4,"car",23,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",42,"existing paid","radio/tv",7166,"no known savings","4<=X<7",2,"male mar/wid","none",4,"life insurance",NA,"stores","rent",1,"skilled",1,"yes","yes","good"
"no checking",27,"delayed previously","used car",8613,">=1000","1<=X<4",2,"male single","none",2,"car",27,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",6,"all paid","radio/tv",1750,"500<=X<10000",">=7",2,"male single","none",4,"life insurance",45,"bank","own",1,"unskilled resident",2,"none","yes","good"
"no checking",15,"critical/order existing credit","radio/tv",1360,"<100","1<=X<4",4,"male single","none",2,"life insurance",NA,"stores","own",NA,"skilled",1,"none","yes","good"
"0<=X<200",30,"existing paid","radio/tv",1715,"no known savings","1<=X<4",4,"female div/dep/mar","none",1,"car",26,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",24,NA,"radio/tv",1311,"100<=X<500",NA,4,"male mar/wid","none",3,"life insurance",26,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","new car",682,"100<=X<500","4<=X<7",4,"female div/dep/mar","none",3,"car",51,"stores","own",2,NA,1,"yes","yes","good"
"<0",18,NA,"radio/tv",1940,"<100","<1",3,NA,"co applicant",4,"no known property",36,"bank","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
NA,10,"critical/order existing credit","furniture/equipment",2069,"no known savings","1<=X<4",2,"male mar/wid","none",1,"car",NA,"stores","own",2,"skilled",1,"none","no","good"
">=200",12,"existing paid","furniture/equipment",2251,"<100","1<=X<4",1,"female div/dep/mar","none",2,"car",46,"stores","own",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",12,"existing paid","radio/tv",1155,"<100",">=7",3,"male mar/wid","guarantor",3,"real estate",40,"bank","own",2,"unskilled resident",1,"none","yes","good"
"no checking",21,"critical/order existing credit","used car",3275,"<100",">=7",1,"male single","none",4,"car",36,"stores",NA,1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",4,"critical/order existing credit","radio/tv",1544,"<100","4<=X<7",2,"male single","none",1,"real estate",42,"stores","own",3,"unskilled resident",2,"none","yes","good"
"<0",15,"existing paid","business",806,"<100","1<=X<4",4,"female div/dep/mar",NA,4,NA,22,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",24,"critical/order existing credit","repairs",5507,"<100",">=7",3,NA,"none",4,"no known property",44,"stores","for free",2,"skilled",1,"none","yes","good"
"no checking",11,NA,"radio/tv",1154,"100<=X<500","unemployed",4,"female div/dep/mar","none",4,"real estate",57,"stores","own",3,"unskilled resident",1,"none","yes","good"
"<0",12,"existing paid",NA,708,"<100","1<=X<4",2,"male single","guarantor",3,"life insurance",38,"stores","own",1,"unskilled resident",2,"none","yes","good"
"<0",9,"critical/order existing credit","repairs",1288,"100<=X<500",">=7",3,"male single","guarantor",4,"real estate",48,"stores","own",2,"skilled",2,"none","no","good"
"0<=X<200",6,"critical/order existing credit","retraining",932,"no known savings","4<=X<7",1,"female div/dep/mar","none",3,"life insurance",39,"stores","own",2,"unskilled resident",1,"none","yes","good"
"<0",15,"critical/order existing credit","furniture/equipment",1433,"<100","1<=X<4",4,"female div/dep/mar","none",3,"life insurance",25,"stores","rent",2,"skilled",1,"none",NA,"good"
">=200",30,"critical/order existing credit","radio/tv",3017,"<100",">=7",4,"male single","none",4,"life insurance",47,"stores","own",1,"skilled",1,"none","yes","good"
">=200",12,"existing paid","radio/tv",1881,"<100","1<=X<4",2,"female div/dep/mar","none",2,"car",44,"stores","rent",1,"unskilled resident",1,"yes",NA,"good"
"<0",18,"existing paid","radio/tv",2389,"<100","<1",4,"female div/dep/mar","none",1,"car",27,"","own",1,"skilled",1,"none","yes","good"
"<0",30,"existing paid","used car",3857,"<100","1<=X<4",4,"male div/sep","none",4,"life insurance",40,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"<0",9,"critical/order existing credit","radio/tv",1138,"<100","1<=X<4",4,"male single","none",4,"real estate",25,"stores","own",2,"unskilled resident",1,"none","yes","good"
"no checking",15,"all paid","radio/tv",1569,"100<=X<500",">=7",4,"male single","none",4,"car",34,"bank","own",1,"unskilled resident",2,"none","yes","good"
">=200",24,"existing paid","radio/tv",1258,"500<=X<10000","1<=X<4",3,"female div/dep/mar","none",3,"car",57,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",12,"existing paid","radio/tv",804,NA,">=7",4,"male single","none",4,"car",38,"stores","own",1,"skilled",NA,"none","yes","good"
"no checking",12,"critical/order existing credit","business",1185,NA,"1<=X<4",3,"female div/dep/mar","none",2,"real estate",27,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",6,"existing paid","repairs",454,"<100","<1",3,"male mar/wid","none",1,"life insurance",22,NA,"own",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",24,"delayed previously","new car",1965,"no known savings","1<=X<4",4,"female div/dep/mar","none",4,"car",42,"stores","rent",NA,"skilled",1,"yes","yes","good"
"<0",6,"critical/order existing credit","radio/tv",338,"500<=X<10000",">=7",4,"male single","none",4,"car",52,"stores","own",2,"skilled",1,"none","yes","good"
">=200",18,"existing paid","furniture/equipment",3049,"<100","<1",1,"female div/dep/mar","none",1,"life insurance",45,"",NA,1,"unskilled resident",1,"none","yes","good"
"no checking",21,"existing paid","used car",2476,"no known savings",">=7",4,"male single","none",4,"real estate",46,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"0<=X<200",18,"critical/order existing credit","business",3590,"<100","unemployed",3,"male mar/wid","none",3,"car",40,"stores","own",3,"unemp/unskilled non res",2,"yes","yes","good"
"<0",30,"critical/order existing credit","used car",6187,"100<=X<500","4<=X<7",1,"male mar/wid",NA,4,"car",24,"stores","rent",2,"skilled",1,"none","yes","good"
"<0",8,"critical/order existing credit","other",1164,"<100",">=7",3,"male single","none",4,"no known property",51,"bank","for free",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"<0",24,"all paid","new car",2325,"100<=X<500","4<=X<7",2,"male single","none",3,"car",32,"bank","own",1,"skilled",1,"none","yes","good"
"<0",21,"existing paid","new car",3763,"no known savings","4<=X<7",2,"male single","co applicant",2,"real estate",24,"stores","own",1,"unskilled resident",1,"none",NA,"good"
"no checking",24,"existing paid","radio/tv",3430,"500<=X<10000",">=7",3,"male single","none",2,"car",31,"stores","own",NA,"skilled",2,"yes","yes","good"
"<0",6,"existing paid","furniture/equipment",428,"<100",">=7",2,"female div/dep/mar","none",1,"life insurance",49,NA,"own",1,"skilled",1,"yes","yes","good"
"no checking",6,"critical/order existing credit","furniture/equipment",1221,"no known savings","1<=X<4",1,"male mar/wid","none",2,"life insurance",27,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","new car",2255,"no known savings","<1",NA,"male single","none",1,"life insurance",54,"stores","own",1,"skilled",1,"none","yes","good"
"<0",15,"critical/order existing credit","furniture/equipment",975,"<100","1<=X<4",2,"male div/sep",NA,3,"life insurance",25,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",48,"delayed previously","radio/tv",12749,"500<=X<10000","4<=X<7",4,NA,"none",1,"car",37,"stores","own",NA,"high qualif/self emp/mgmt",1,"yes",NA,"good"
">=200",24,"existing paid","furniture/equipment",3749,NA,"<1",2,"female div/dep/mar","none",4,"car",26,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",28,NA,"used car",7824,"no known savings","<1",3,"male single","guarantor",4,"real estate",40,"bank","rent",2,"skilled",2,"yes","yes","good"
"0<=X<200",12,"existing paid","used car",2028,"no known savings","1<=X<4",4,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",18,"critical/order existing credit","furniture/equipment",6361,"<100",">=7",2,"male single","none",1,"no known property",41,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",10,"existing paid","new car",1364,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",64,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",24,"existing paid","used car",2679,"<100","<1",4,"female div/dep/mar","none",1,"no known property",29,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"0<=X<200",9,"existing paid","new car",276,"<100","1<=X<4",4,"male mar/wid","none",4,"real estate",22,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"no checking",30,"critical/order existing credit","radio/tv",3077,"no known savings",">=7",3,"male single","none",2,"car",40,"stores","own",2,"skilled",2,"yes","yes","good"
"0<=X<200",30,NA,"business",4221,"<100","1<=X<4",2,"female div/dep/mar","none",1,"car",28,"stores","own",2,"skilled",1,"none","yes","good"
">=200",18,"existing paid","new car",1961,"<100",">=7",3,"female div/dep/mar","none",2,"car",23,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"<0",24,"critical/order existing credit","used car",6419,"<100",">=7",2,"female div/dep/mar","none",4,"no known property",44,"stores","for free",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"no checking",54,"no credits/all paid","used car",9436,"no known savings","1<=X<4",2,"male single","none",2,"life insurance",39,"stores","own",1,"unskilled resident",2,"none","yes","good"
"no checking",11,"existing paid","business",2142,">=1000",">=7",1,"male div/sep","none",2,"real estate",28,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",30,"critical/order existing credit","radio/tv",6742,"no known savings","4<=X<7",2,"male single","none",3,"life insurance",36,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","radio/tv",1533,"<100","<1",4,"female div/dep/mar","none",3,"car",38,"","own",1,"skilled",1,"yes","yes","good"
"no checking",6,"existing paid","used car",1236,"500<=X<10000","1<=X<4",2,"male single","none",4,"life insurance",50,"stores","rent",1,"skilled",1,"none","yes","good"
"<0",18,"no credits/all paid","business",3104,"<100","4<=X<7",3,"male single","none",1,"life insurance",31,"bank","own",1,"skilled",1,"yes","yes","good"
"<0",24,"critical/order existing credit","business",1382,"100<=X<500","4<=X<7",4,"male single","none",1,"real estate",26,"stores","own",2,"skilled",1,"yes","yes","good"
"0<=X<200",48,"existing paid","other",5381,"no known savings","unemployed",3,"male single","none",4,"no known property",40,"bank","for free",1,"unemp/unskilled non res",1,"yes","yes","good"
"0<=X<200",12,"existing paid","radio/tv",2930,"<100","4<=X<7",2,"female div/dep/mar","none",1,"real estate",27,"stores","own",NA,"skilled",1,"none","yes","good"
"no checking",12,"existing paid","furniture/equipment",1574,"<100","1<=X<4",4,"male single","none",2,"real estate",50,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",9,"critical/order existing credit","furniture/equipment",1919,"<100","4<=X<7",4,"male single","none",3,"car",35,"stores","rent",1,"skilled",1,"yes","yes","good"
"no checking",NA,"critical/order existing credit","new car",1055,"<100","<1",4,"female div/dep/mar",NA,1,"life insurance",30,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",24,"critical/order existing credit","furniture/equipment",5150,"<100",">=7",4,"male single","none",4,"car",33,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",10,"existing paid","new car",1287,"no known savings",">=7",4,"male single","co applicant",2,"life insurance",45,"stores","own",1,NA,1,"none","no","good"
"0<=X<200",36,"all paid","domestic appliance",3990,"no known savings","<1",3,"female div/dep/mar","none",2,"no known property",29,"bank","own",1,"unemp/unskilled non res",1,"none","yes","good"
"no checking",27,"critical/order existing credit","furniture/equipment",4526,">=1000","<1",4,"male single","none",2,"real estate",32,"","own",2,"unskilled resident",2,NA,"yes","good"
">=200",12,"existing paid","radio/tv",1881,"<100",NA,2,"female div/dep/mar","none",2,"car",44,"stores","rent",1,"unskilled resident",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","new car",1255,"<100",">=7",4,"male single","none",4,"real estate",61,"stores","own",2,"unskilled resident",1,"none","yes","good"
"no checking",12,"critical/order existing credit","furniture/equipment",1592,">=1000","4<=X<7",3,"female div/dep/mar","none",2,"life insurance",35,"stores","own",1,"skilled",1,"none","no","good"
"no checking",10,"existing paid","used car",2848,"100<=X<500","1<=X<4",1,"male single","co applicant",2,"real estate",32,"stores","own",1,"skilled",2,"none","yes","good"
"no checking",36,"delayed previously","furniture/equipment",7678,"500<=X<10000","4<=X<7",2,"female div/dep/mar","none",4,"car",40,"stores","own",2,"skilled",1,"yes","yes","good"
"<0",6,"critical/order existing credit","new car",3676,"<100","1<=X<4",1,"male single","none",3,"real estate",37,"stores","rent",3,"skilled",2,"none","yes","good"
"no checking",24,"existing paid","used car",2679,"<100","<1",4,"female div/dep/mar","none",1,"no known property",29,"stores","own",1,NA,1,"yes","yes","good"
"0<=X<200",24,"existing paid","used car",2760,"no known savings",">=7",4,"male single","none",4,"no known property",36,"bank","for free",1,"skilled",1,"yes","yes","good"
"<0",24,"existing paid",NA,2812,"no known savings",">=7",2,"female div/dep/mar","none",4,"real estate",26,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",30,"delayed previously","business",4272,"100<=X<500","1<=X<4",2,"male single","none",2,"life insurance",26,"stores","own",2,"unskilled resident",1,"none","yes","good"
"<0",15,"delayed previously","furniture/equipment",3643,"<100",">=7",1,"female div/dep/mar","none",4,"life insurance",27,"stores","own",2,"unskilled resident",1,"none","yes","good"
"0<=X<200",12,"existing paid","business",841,"100<=X<500","4<=X<7",2,"female div/dep/mar","none",4,"real estate",23,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",6,"existing paid","radio/tv",484,"<100","4<=X<7",3,"male mar/wid","guarantor",3,"real estate",28,"bank","own",1,"unskilled resident",1,"none","yes","good"
"0<=X<200",12,"critical/order existing credit","new car",2366,"500<=X<10000","4<=X<7",3,"male div/sep","none",3,"car",36,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",18,"critical/order existing credit","radio/tv",1800,"<100","1<=X<4",4,"male single","none",2,"car",24,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",48,"all paid","new car",12169,"no known savings","unemployed",4,"male single","co applicant",4,"no known property",36,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",24,"critical/order existing credit","furniture/equipment",1585,"<100","4<=X<7",4,"male single","none",3,"life insurance",40,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",9,"existing paid","education",3832,"no known savings",">=7",1,"male single","none",4,"real estate",64,"stores",NA,1,"unskilled resident",1,"none","yes","good"
">=200",12,"existing paid","furniture/equipment",1474,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",33,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","business",1264,"no known savings",">=7",4,"male single","none",4,"no known property",57,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"no checking",24,"critical/order existing credit","new car",2022,"<100","1<=X<4",4,"female div/dep/mar","none",4,"car",37,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",20,"no credits/all paid","used car",6148,"100<=X<500",">=7",3,"male mar/wid","none",4,"car",31,"bank","own",2,"skilled",1,"yes","yes","good"
"no checking",33,"critical/order existing credit","used car",7253,"<100","4<=X<7",3,"male single","none",2,"car",35,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",18,"existing paid","business",1950,"<100","4<=X<7",4,"male single","none",1,"car",34,"","own",2,"skilled",1,"yes","yes","good"
"0<=X<200",18,"existing paid","furniture/equipment",NA,NA,"4<=X<7",2,"female div/dep/mar","none",4,"real estate",40,"stores","rent",1,"skilled",1,"none","yes","good"
">=200",6,"critical/order existing credit","education",1047,"<100","1<=X<4",2,"female div/dep/mar","none",4,"life insurance",50,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",15,"all paid","radio/tv",1569,"100<=X<500",">=7",4,"male single","none",4,"car",34,"bank","own",1,"unskilled resident",2,"none","yes","good"
"0<=X<200",30,"no credits/all paid","business",4221,"<100","1<=X<4",2,"female div/dep/mar","none",1,"car",28,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",6,"existing paid","radio/tv",368,"no known savings",">=7",4,"male single","none",4,"life insurance",38,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",618,"<100",">=7",4,"male single","none",4,"real estate",56,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",12,"existing paid","radio/tv",2930,"<100","4<=X<7",2,"female div/dep/mar","none",1,"real estate",27,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",12,"critical/order existing credit","new car",926,"<100","unemployed",1,"female div/dep/mar","none",2,"life insurance",38,"stores",NA,1,"unemp/unskilled non res",1,"none","yes","good"
"no checking",27,"existing paid","repairs",5190,"no known savings",">=7",4,"male single","none",4,"life insurance",48,"stores","own",4,"skilled",2,"yes","yes","good"
"<0",15,"critical/order existing credit","furniture/equipment",1433,"<100","1<=X<4",4,"female div/dep/mar","none",3,"life insurance",25,"stores","rent",2,"skilled",1,"none","yes","good"
"<0",20,"critical/order existing credit","furniture/equipment",4272,"<100",">=7",1,"female div/dep/mar","none",4,"life insurance",24,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",27,NA,"used car",8613,">=1000","1<=X<4",2,"male single","none",2,"car",27,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",48,"critical/order existing credit","business",7629,"no known savings",">=7",4,"male div/sep","none",2,"car",46,"bank","own",2,"high qualif/self emp/mgmt",2,"none","yes","good"
"no checking",15,"existing paid","radio/tv",1979,"no known savings",">=7",4,"male single","none",2,"car",NA,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",45,"critical/order existing credit","used car",4576,"100<=X<500","unemployed",3,"male single","none",4,"car",27,"stores","own",1,"skilled",1,"none","yes","good"
"0<=X<200",42,"all paid","used car",9283,"<100","unemployed",1,"male single","none",2,"no known property",55,"bank","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","furniture/equipment",1258,"<100","<1",2,"female div/dep/mar","none",4,"life insurance",22,"stores","rent",2,NA,1,"none","yes","good"
"<0",24,"existing paid","furniture/equipment",3021,"<100","1<=X<4",2,"male div/sep","none",2,"real estate",24,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"no checking",6,"existing paid","used car",NA,"500<=X<10000","1<=X<4",2,"male single","none",4,NA,50,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",24,"critical/order existing credit","furniture/equipment",2028,"<100","4<=X<7",2,"male single","none",2,"life insurance",30,"stores","own",2,"unskilled resident",1,"none","yes","good"
"<0",24,"critical/order existing credit","used car",6615,"<100","unemployed",2,"male single","none",4,"no known property",75,"stores","for free",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",24,"existing paid","furniture/equipment",2835,"500<=X<10000",">=7",3,"male single","none",NA,"life insurance",53,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",36,"delayed previously","new car",10875,"<100",">=7",2,"male single","none",2,"car",45,"stores","own",2,"skilled",2,"yes","yes","good"
"<0",12,"critical/order existing credit","new car",2122,"<100","1<=X<4",3,"male single","none",2,NA,39,"stores","rent",2,NA,2,"none","no","good"
"no checking",21,"existing paid","furniture/equipment",2241,"<100",">=7",4,"male single","none",2,"real estate",50,"stores","own",2,"skilled",1,"none","yes","good"
"0<=X<200",18,"existing paid","radio/tv",3213,"500<=X<10000","<1",1,"male mar/wid","none",3,"real estate",25,"stores",NA,1,"skilled",1,"none","yes","good"
"0<=X<200",12,"existing paid","new car",7472,"no known savings","unemployed",1,"female div/dep/mar","none",2,"real estate",24,"stores",NA,1,"unemp/unskilled non res",1,"none","yes","good"
"no checking",15,"existing paid","new car",3556,"no known savings","1<=X<4",3,"male single","none",2,"no known property",29,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",21,"existing paid","business",1572,">=1000",">=7",4,"female div/dep/mar","none",4,"real estate",36,"bank","own",1,"unskilled resident",1,"none","yes","good"
"<0",10,"critical/order existing credit","new car",2241,"<100","<1",1,"male single","none",3,"real estate",48,"stores","rent",2,"unskilled resident",2,"none","no","good"
"no checking",6,"existing paid","domestic appliance",1338,"500<=X<10000","1<=X<4",1,"male div/sep",NA,4,"real estate",62,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",6,"critical/order existing credit","radio/tv",1898,"no known savings","1<=X<4",NA,"male single","none",2,"real estate",34,"stores","own",2,"unskilled resident",2,"none","yes","good"
NA,12,"existing paid","new car",1330,"<100","<1",4,"male single","none",1,"real estate",26,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",9,"existing paid","furniture/equipment",2301,"100<=X<500","<1",2,"female div/dep/mar",NA,4,"life insurance",22,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",24,NA,"used car",2346,"<100","4<=X<7",4,"male single","none",3,"car",35,"stores","own",2,"skilled",1,"yes","yes","good"
"0<=X<200",18,"critical/order existing credit","furniture/equipment",3612,"<100",">=7",3,NA,"none",4,"life insurance",37,"stores","own",1,"skilled",1,"yes","yes","good"
"0<=X<200",18,"critical/order existing credit","business",1887,"no known savings","1<=X<4",4,"male mar/wid","none",4,"real estate",28,NA,"own",2,"skilled",1,"none","yes","good"
"no checking",6,"critical/order existing credit","radio/tv",1554,"<100","4<=X<7",1,"female div/dep/mar","none",2,"car",24,"stores","rent",2,"skilled",NA,"yes","yes","good"
"no checking",10,"existing paid","retraining",894,"no known savings","4<=X<7",4,"female div/dep/mar","none",3,"life insurance",40,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",60,"delayed previously","radio/tv",15653,"<100","4<=X<7",2,"male single","none",4,"car",21,"stores","own",2,"skilled",1,"yes","yes","good"
